focal,baseline,n,winrate,winrate_ci_lo,winrate_ci_hi,p,utility_gap,utility_gap_ci_lo,utility_gap_ci_hi
pasct_K5,btgreedy,500,0.5059,0.5043,0.5077,0.0002,0.0239,0.0173,0.0314
pasct_K5,psystate_sctbok,500,0.5214,0.5176,0.5256,0.0002,0.0888,0.0726,0.1069
pasct_K5,psystate_pasct,500,0.5013,0.5003,0.5027,0.0002,0.0055,0.0013,0.0118
pasct_K5,lexicon,500,0.5370,0.5307,0.5436,0.0002,0.1541,0.1276,0.1824
pasct_K5,majority,500,0.5521,0.5461,0.5584,0.0002,0.2164,0.1903,0.2433
pasct_K5,misc,500,0.5550,0.5483,0.5621,0.0002,0.2288,0.2003,0.2593
pasct_K5,multiesc,500,0.5630,0.5567,0.5696,0.0002,0.2618,0.2346,0.2908
pasct_K5,transesc,500,0.5589,0.5522,0.5659,0.0002,0.2456,0.2168,0.2760
pasct_K5,oracle,500,0.5892,0.5818,0.5968,0.0002,0.3799,0.3467,0.4142
pasct_K5,pasct_collapse_mean,500,0.5011,0.5006,0.5017,0.0002,0.0045,0.0024,0.0068
pasct_K5,pasct_multidim,500,0.5012,0.5003,0.5026,0.0002,0.0054,0.0012,0.0116
