focal,baseline,n,winrate,winrate_ci_lo,winrate_ci_hi,p,utility_gap,utility_gap_ci_lo,utility_gap_ci_hi
pasct_K2,btgreedy,500,0.4977,0.4942,0.5010,0.9046,-0.0108,-0.0261,0.0037
pasct_K2,psystate_sctbok,500,0.5132,0.5094,0.5171,0.0002,0.0541,0.0384,0.0705
pasct_K2,psystate_pasct,500,0.4931,0.4903,0.4955,1.0000,-0.0292,-0.0417,-0.0184
pasct_K2,lexicon,500,0.5289,0.5226,0.5356,0.0002,0.1194,0.0929,0.1483
pasct_K2,majority,500,0.5439,0.5379,0.5502,0.0002,0.1817,0.1562,0.2086
pasct_K2,misc,500,0.5467,0.5404,0.5538,0.0002,0.1941,0.1667,0.2239
pasct_K2,multiesc,500,0.5547,0.5484,0.5614,0.0002,0.2271,0.2002,0.2556
pasct_K2,transesc,500,0.5507,0.5440,0.5577,0.0002,0.2108,0.1823,0.2408
pasct_K2,oracle,500,0.5811,0.5739,0.5888,0.0002,0.3452,0.3130,0.3795
pasct_K2,pasct_collapse_mean,500,0.4929,0.4898,0.4957,1.0000,-0.0302,-0.0442,-0.0180
pasct_K2,pasct_multidim,500,0.4930,0.4902,0.4955,1.0000,-0.0294,-0.0419,-0.0187
