focal,baseline,n,winrate,winrate_ci_lo,winrate_ci_hi,p,utility_gap,utility_gap_ci_lo,utility_gap_ci_hi
pasct_cond_anchor,btgreedy,500,0.5048,0.5027,0.5068,0.0002,0.0191,0.0106,0.0276
pasct_cond_anchor,pasct_dro_anchor,500,0.4988,0.4975,0.4997,1.0000,-0.0051,-0.0110,-0.0014
pasct_cond_anchor,misc,500,0.5538,0.5474,0.5610,0.0002,0.2240,0.1960,0.2542
pasct_cond_anchor,multiesc,500,0.5618,0.5556,0.5687,0.0002,0.2570,0.2300,0.2862
pasct_cond_anchor,transesc,500,0.5578,0.5511,0.5649,0.0002,0.2407,0.2120,0.2711
