focal,baseline,n,winrate,winrate_ci_lo,winrate_ci_hi,p,utility_gap,utility_gap_ci_lo,utility_gap_ci_hi
pasct_dro_anchor,btgreedy,500,0.5059,0.5043,0.5077,0.0002,0.0242,0.0177,0.0316
pasct_dro_anchor,misc,500,0.5550,0.5484,0.5621,0.0002,0.2291,0.2006,0.2596
pasct_dro_anchor,multiesc,500,0.5630,0.5568,0.5697,0.0002,0.2621,0.2349,0.2909
pasct_dro_anchor,transesc,500,0.5590,0.5523,0.5660,0.0002,0.2458,0.2171,0.2762
pasct_dro_anchor,kemi,500,0.5412,0.5351,0.5476,0.0002,0.1705,0.1446,0.1973
pasct_dro_anchor,rag_smoke,500,0.5542,0.5474,0.5613,0.0002,0.2258,0.1962,0.2563
