focal,baseline,n,winrate,winrate_ci_lo,winrate_ci_hi,p,utility_gap,utility_gap_ci_lo,utility_gap_ci_hi
pasct_K1,btgreedy,500,0.4643,0.4575,0.4707,1.0000,-0.1552,-0.1865,-0.1257
pasct_K1,psystate_sctbok,500,0.4797,0.4726,0.4866,1.0000,-0.0903,-0.1226,-0.0596
pasct_K1,psystate_pasct,500,0.4597,0.4532,0.4659,1.0000,-0.1736,-0.2037,-0.1451
pasct_K1,lexicon,500,0.4948,0.4869,0.5025,0.8970,-0.0250,-0.0600,0.0083
pasct_K1,majority,500,0.5095,0.5021,0.5170,0.0078,0.0373,0.0048,0.0693
pasct_K1,misc,500,0.5125,0.5045,0.5212,0.0030,0.0496,0.0153,0.0870
pasct_K1,multiesc,500,0.5204,0.5126,0.5284,0.0002,0.0827,0.0487,0.1169
pasct_K1,transesc,500,0.5166,0.5084,0.5249,0.0002,0.0664,0.0311,0.1024
pasct_K1,oracle,500,0.5476,0.5400,0.5552,0.0002,0.2008,0.1680,0.2347
pasct_K1,pasct_collapse_mean,500,0.4595,0.4528,0.4659,1.0000,-0.1746,-0.2057,-0.1458
pasct_K1,pasct_multidim,500,0.4596,0.4531,0.4658,1.0000,-0.1738,-0.2037,-0.1453
