focal,baseline,n,winrate,winrate_ci_lo,winrate_ci_hi,p,utility_gap,utility_gap_ci_lo,utility_gap_ci_hi
pasct_regret_cond,btgreedy,500,0.5047,0.5027,0.5067,0.0002,0.0189,0.0104,0.0274
pasct_regret_cond,pasct_dro_anchor,500,0.4988,0.4975,0.4996,1.0000,-0.0053,-0.0111,-0.0016
pasct_regret_cond,misc,500,0.5538,0.5473,0.5610,0.0002,0.2238,0.1958,0.2541
pasct_regret_cond,multiesc,500,0.5618,0.5555,0.5686,0.0002,0.2568,0.2299,0.2860
pasct_regret_cond,transesc,500,0.5577,0.5511,0.5648,0.0002,0.2406,0.2118,0.2710
